江西本地,#genre#
凤凰中文,http://playtv-live.ifeng.com:80/live/06OLEGEGM4G.m3u8
C+-影视,http://gslbmeiah.cdn.hk.chinamobile.com/livehls/MOB-U1-NO/01.m3u8
凤凰香港,http://223.110.245.137/PLTV/3/224/3221226975/index.m3u8
凤凰香港,http://183.207.249.34/PLTV/3/224/3221226975/index.m3u8
凤凰香港蓝光,http://223.110.236.3/ott.js.chinamobile.com/PLTV/3/224/3221228060/index.m3u8
凤凰香港蓝光,http://223.110.235.10/ott.js.chinamobile.com/PLTV/3/224/3221228060/index.m3u8
凤凰资讯,http://223.110.245.137/PLTV/3/224/3221226923/index.m3u8
凤凰资讯蓝光,http://223.110.235.5/ott.js.chinamobile.com/PLTV/3/224/3221228098/index.m3u8
凤凰资讯蓝光,http://223.110.235.4/ott.js.chinamobile.com/PLTV/3/224/3221228098/index.m3u8
凤凰中文蓝光,http://223.110.236.10/ott.js.chinamobile.com/PLTV/3/224/3221228057/index.m3u8
凤凰中文,http://117.169.120.138:8080/live/fhchinese/index.m3u8
未来日本,http://211.23.114.106:8537/http/60.251.39.91:8081/hls/69/811/ch34.m3u8

更多频道,https://cdn.jsdelivr.net/gh/vbskycn/iptv@master/img/gengduo2.mp4
