江西本地,#genre#
甘肃卫视,http://ivi.bupt.edu.cn/hls/gstv.m3u8
贵州卫视,http://ivi.bupt.edu.cn/hls/gztv.m3u8
湖北卫视,http://ivi.bupt.edu.cn/hls/hbtv.m3u8
河北卫视,http://ivi.bupt.edu.cn/hls/hebtv.m3u8
黑龙江卫视,http://ivi.bupt.edu.cn/hls/hljtv.m3u8
河南卫视,http://ivi.bupt.edu.cn/hls/hntv.m3u8
湖南卫视,http://ivi.bupt.edu.cn/hls/hunantv.m3u8
吉林卫视,http://ivi.bupt.edu.cn/hls/jltv.m3u8
江苏卫视,http://ivi.bupt.edu.cn/hls/jstv.m3u8
江西卫视,http://ivi.bupt.edu.cn/hls/jxtv.m3u8
辽宁卫视,http://ivi.bupt.edu.cn/hls/lntv.m3u8
旅游卫视,http://ivi.bupt.edu.cn/hls/lytv.m3u8
内蒙古卫视,http://ivi.bupt.edu.cn/hls/nmtv.m3u8
青海卫视,http://ivi.bupt.edu.cn/hls/qhtv.m3u8
四川卫视,http://ivi.bupt.edu.cn/hls/sctv.m3u8
山东卫视,http://ivi.bupt.edu.cn/hls/sdtv.m3u8
山西卫视,http://ivi.bupt.edu.cn/hls/sxrtv.m3u8
陕西卫视,http://ivi.bupt.edu.cn/hls/sxtv.m3u8
天津卫视,http://ivi.bupt.edu.cn/hls/tjtv.m3u8
新疆卫视,http://ivi.bupt.edu.cn/hls/xjtv.m3u8
云南卫视,http://ivi.bupt.edu.cn/hls/yntv.m3u8
延边卫视,http://live.ybtvyun.com/video/s10016-6f0dfd97912f/index.m3u8
东北戏曲,http://stream1.jlntv.cn/dbxq/playlist.m3u8?_upt=ea4a8ed01540827167






电影频道,#genre#

影视1,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226708/index.m3u8
影视1HD,http://39.134.182.236/PLTV/88888888/224/3221226245/index.m3u8
影视2HD,http://39.134.182.236/PLTV/88888888/224/3221226178/index.m3u8
影视3HD,http://39.134.182.236/PLTV/88888888/224/3221226179/index.m3u8
影视5,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226736/index.m3u8
影视6,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226692/index.m3u8
CBN幸福剧场,http://home.lpfcdn.com:4000/udp/235.254.198.193:7980
CHC电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226463/index.m3u8
CHC动作电影,http://125.210.152.18:9090/live/DZDYHD_H265.m3u8
CHC动作电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226465/index.m3u8
CHC高清电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226463/index.m3u8
CHC高清电影2K,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226463/index.m3u8
CHC家庭影院,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226462/index.m3u8
CHC家庭影院2K,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226462/index.m3u8
CHC蓝光电影,http://ivi.bupt.edu.cn/hls/chchd.m3u8
4K花园娱乐,http://223.110.243.163/ott.js.chinamobile.com/PLTV/3/224/3221227749/index.m3u8
kk电影频道,http://hpull.kktv8.com/livekktv/99350550/playlist.m3u8
kk影视频道,http://hpull.kktv8.com/livekktv/99592190/playlist.m3u8
